전기안전관리자 모집,월급 | 300만원 이상,정규 | 주5일,,"담당업무 :  전기안전관리업무 전반 고충처리 사용전검사,정기검사 입회 기타 입회 설계,감리업 보조 기타",경력4년 | 고졸 | ~ 대졸(4년) 경상북도
대관업무 가능한 전기산업기사 채용,"연봉 | 3,000만원 ~ 5,000만원",정규 | 주5일,09:00 ~ 18:00,"담당업무 :  대관업무 , 전기도면 작성 및 검토 등 전기산업기사 자격증을 보유한 인원",경력무관 | 학력무관 | 경기도 부천시 석천로
2020년도 지역정착형 청년일자리 사업 -컴퓨터 프로그램어 및 스마트 폰앱 개발자 모집,월급 | 280만원 이상,정규 | 주5일,09:00 ~ 18:00,"담당업무 :  연구개발 설계 시험 제작 [통신기술>실감형콘텐츠제작>가상현실콘텐츠제작] 네트워크 프로그래밍 데이터베이스 활용하기,서버 ...",경력2년 | 고졸 | ~ 석사 경기도
건축설비 또는 산업기계설비 경력자 구인,월급 | 250만원 이상,정규 | 주5일,08:30 ~ 18:00,"담당업무 :  기계설비 사업 회사의 사업범위 : 기계설비점검업 및 에너지진단, ESCO사업, 전기진단, EHS [위험물, 산업위생, 산업안전, 보건안전,...",경력5년 | 대졸(2~3년) | ~ 박사 서울특별시
에너지진단 및 ESCO사업 경력자 구인,월급 | 275만원 ~ 300만원,정규 | 주5일,08:30 ~ 18:00,"담당업무 :  에너지진단, ESCO사업 회사의 사업범위 : 에너지진단, ESCO사업 및 기계설비, 전기진단, EHS [위험물, 산업위생, 산업안전, 보건안...",경력3년 | 대졸(2~3년) | ~ 박사 서울특별시
"위성영상 데이터 분석 SW 개발자 모집(Python 우대, 부산 센텀시티 근무)","연봉 | 3,000만원 ~ 3,500만원",비정규 | 주5일,09:00 ~ 18:00,담당업무 :  인공위성 및 무인기 영상 기반 특정 물체 변별 및 탐지 모델 프로그래밍 영상처리 및 객체탐지 S/W 개발 원격탐사 영상처리 S/W 개발 ...,경력무관 | 학력무관 | 부산광역시 해운대구 센텀중앙로
광교중앙역 신축현장 전기안전관리자  모집,월급 | 273만원 이상,비정규 | 주5일,08:00 ~ 17:00,담당업무 :  - 광교중앙역 SK뷰 건설현장 시설물 전기안전관리 - 근무시간 :08시~17시 / 주5일 - 급여 : 273만원 - 전기산업기사 자격증 보유/경력...,경력4년 | 학력무관 | 경기도 수원시 영통구
[목재 제작] 조경시설물 제작경력자 모집,"연봉 | 2,400만원 ~ 3,000만원",정규 | 주5일,08:30 ~ 18:00,담당업무 :  당사는 생활체육시설 및 조경시설물 전문업체로 아래와 같이 인재를 모집합니다. -. 모집분야 : [목재제작 조립] -. 직 무 : 캐드 도...,경력3년 | 대졸(4년) | 경기도 김포시 승가로
기계제도가능 실무담당 공장장 모집,"연봉 | 3,300만원 ~ 6,000만원",정규 | 주5일,,담당업무 :  기계제관 생산현장관리 (공장장급) 업무 - 공정관리 - 기계가공 및 제작 - 용접/제관/CNC - 현장관리,경력10년 | 학력무관 | 경기도 화성시 팔탄면
전기안전관리자(전기산업기사) 구인,"연봉 | 3,500만원 이상",정규 | 주5일,08:30 ~ 17:30,담당업무 :  전기 설비 관리 및 기타 전기 작업,경력2년 | 학력무관 | 울산광역시 남구 납도로
