"아파트 관리소장 채용합니다/이력서 팩스, 방문 지원(전화문의 사절)","연봉 | 2,400만원 ~ 2,400만원",정규 | 주5일,09:00 ~ 18:00,"담당업무 :  자치관리아파트(1동 127세대) 관리소장 업무. 주택관리사(보) 자격증소지자. 소방안전관리자 2급 소지자. 한글, 엑셀 사용 가능 한 분...",경력1년 | 학력무관 | 서울특별시 관악구 호암로,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAF002011260001&rtnTarget=list1
라메르유한회사 경력사원(이사급) 모집,"연봉 | 2,600만원 ~ 3,000만원",정규 | 주5일,09:00 ~ 18:00,담당업무 :  1. 회계업무 : 자금관리 총괄 2. 임대영업 : 부동산 계약관련 업무 및 관리 3. 건물관리 : 당사 시설 및 설비관련 관리 (소방안전관리...,경력5년 | 대졸(4년) | 서울특별시 종로구 인사동5길,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K120122011260013&rtnTarget=list2
[성남 분당구 서현동] 효자촌프라자 빌딩 관리소장 구인,월급 | 320만원 ~ 340만원,비정규 | 주5일,,담당업무 :  •건물관리(시설점검) •입점사 민원대응,경력3년 | 학력무관 | 경기도 성남시 분당구,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K151132011260010&rtnTarget=list3
빌딩 관리소장 채용,월급 | 190만원 이상,비정규 | 주6일,,담당업무 :  - 지하1층 지상14층 53세대 소규모 공동건물 경비업무 업무 가능자 - 급여:190만원 - 주간근무(09:00~18:00/토 09:00~12:00 ...,경력1년 | 학력무관 | 경기도 김포시 양촌읍,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKL002011250009&rtnTarget=list4
네이버 법률 카페 관리 스탭 채용공고,"시급 | 8,590원 ~ 8,590원",비정규 | 주5일,09:00 ~ 18:00,"담당업무 :  [네이버 생활 법률 정보 카페 운영 및 관리] - 성범죄/마약범죄 관련 사건, 사례 게시글 작성 - 회원 질의 및 질문성 게시글에 댓글, ...",경력10년 | 학력무관 | 서울특별시 강서구 마곡중앙8로1길,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K120412011190014&rtnTarget=list5
아파트관리소장님 모집,월급 | 280만원 ~ 280만원,시간 | (단기),09:00 ~ 18:00,담당업무 :  -근무지: 시민로 24(84세대) -조 건: 09:00-18:00 -월급여: 월280 -필수사항: 전기산업기사(선임가능자),경력무관 | 학력무관 | 경기도 의정부시 시민로,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAC002011040001&rtnTarget=list6
순창온리뷰 아파트 관리소장(경리업무 겸직) 구합니다,월급 | 295만원 이상,정규 | 주5일,09:00 ~ 18:00,담당업무 :  순창온리뷰 아파트관리소장 구합니다.(경리업무 겸직) 165세대,경력1년 | 고졸 | ~ 대졸(4년) 전라북도,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K161132011030009&rtnTarget=list7
건물관리소장 모집( 방화관리사 자격증 소지),월급 | 130만원 이상,시간 | (단기),,담당업무 :  -6층 빌딩 경비 및 관리(방화관리사 자격증 필수) -간단한 문서작성 가능한 자만 지원,경력무관 | 학력무관 | 서울특별시 노원구 노해로,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K120512011020034&rtnTarget=list8
건물관리소장 구인,월급 | 225만원 이상,비정규 | 주5일,09:00 ~ 18:00,담당업무 :  건물 관리소장 전반적인 업무 * 소방안전 1급소지자 * 경력 1년이상 희망,경력1년 | 학력무관 | 경상남도 창원시 의창구,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K131132010150034&rtnTarget=list9
[용인시일자리박람회 10/21(수) 참여업체] ㈜대한후렉시블_연구소장 모집,"연봉 | 3,000만원 이상",정규 | 주5일,09:00 ~ 18:00,담당업무 :  ❍ 일 시 : 2020. 10. 21.(수) 12:00 ~ 17:00 ❍ 장 소 : 용인미르스타디움(경전철 삼가역) - 면접을 희망하시는 분은 이력서...,경력10년 | 대졸(4년) | ~ 박사 경기도,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKX002010080032&rtnTarget=list10
