재가요양보호사 구인,"시급 | 10,800원 ~ 10,800원",시간 | (장기),13:00 ~ 16:00,"담당업무 :  - 4등급 아주머니 재가요양 - 일상적 가사 및 청소 - 13:00~16:00(주6일근무) - 시급10,800원 초보자 우대",경력무관 | 학력무관 | 인천광역시 미추홀구 주안로50번길,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJDE002011260014&rtnTarget=list1
요양보호사 선생님 구합니다(금곡동),"시급 | 8,590원 이상",시간 | (장기),14:00 ~ 17:00,담당업무 :  금곡주공1단지 4등급 여자 어르신입니다. 같이 살고 있는 아드님이 있으며 가사지원 서비스를 중점적으로 제공합니다. *시급10900 (제...,신입 | 학력무관 | 부산광역시 북구 효열로,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K130112011260051&rtnTarget=list2
요양보호사구인,"시급 | 10,800원 이상",시간 | (장기),10:00 ~ 13:00,담당업무 :  -4등급 -파킨슨 -일상생활지원(청소위주),경력무관 | 초졸이하 | ~ 대졸(4년) 경기도,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKR002011260021&rtnTarget=list3
[월성동] 재가요양보호사 구인-치매교육이수자,"시급 | 10,850원 이상",시간 | (장기),09:00 ~ 11:30,"담당업무 :  재가요양보호사 모집 - 월성주공2단지 5등급 할머니 - 시간 : 오전9:00~11:30. 월23회 근무 - 시급 : 10,850원(치매수당 별도) -...",경력무관 | 학력무관 | 대구광역시 달서구 월성로,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KE70192011260005&rtnTarget=list4
거모동 1등급 할머니 재가요양보호사 모집,"시급 | 11,000원 이상",시간 | (장기),10:00 ~ 13:00,담당업무 :  ▣ 거모동 1등급 할머니케어 ▣ 어르신케어 및 일상생활지원 ▣ 근무시간 : (월~금) 10시 ~ 13시 (요양 보호사 시간 사정에 따라 시간...,경력무관 | 학력무관 | 경기도 시흥시 군자로335번길,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKO002011260013&rtnTarget=list5
재가요양보호사 모집(부산대역인근),"시급 | 8,590원 이상",정규 | 주6일,11:30 ~ 14:30,"담당업무 :  - 대상자: 4등급 여자어르신/부곡동 대우아파트 거주 - 직무내용: 정서지원,일상생활지원 등 - 근무형태:(주6일)/월~토/11시30분~2시3...",경력무관 | 학력무관 | 부산광역시 금정구 부산대학로,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K130112011260043&rtnTarget=list6
[기장읍]재가요양보호사 모집,"시급 | 8,590원 이상",시간 | (장기),,"담당업무 :  - 대상 : 4등급 여자어르신(83세) - 시간 : 주6일근무 / 13:00~16:00 또는 14:00~17:00 - 시급 : 11,000원(수당포함) - 차량소지자 ...",경력무관 | 학력무관 | 부산광역시 기장군 기장읍,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K130112011260041&rtnTarget=list7
재가 요양보호사,"시급 | 10,800원 이상",시간 | (장기),12:30 ~ 15:30,담당업무 :  4등급 할머니 오후재가,신입 | 학력무관 | 인천광역시 부평구 평천로,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKL002011260007&rtnTarget=list8
동대문구 답십리 전농동 sk아파트에서 근무하실 요양보호사님 모집합니다,"시급 | 10,500원 ~ 10,850원",비정규 | 주5일,08:00 ~ 18:00,담당업무 :  하루 8시간에서 9시간 근무하실 요양보호사님 모집 방문요양 가사간병도움,경력무관 | 학력무관 | 서울특별시 동대문구 전농로10길,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K120512011260026&rtnTarget=list9
재가요양보호사 모집,"시급 | 8,590원 ~ 10,810원",시간 | (장기),12:00 ~ 15:00,"담당업무 :  -5등급 여자어르신 (치매교육 이수 필) 월 21회 -12-15 -타센터 근무자는 희망하지 않음 ,(오전 오후 둘다 근무 안하시는 분) -2021.1...",경력 | 학력무관 | 인천광역시 부평구 청중로,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKL002011260006&rtnTarget=list10
재가요양보호사 모집,"시급 | 8,590원 ~ 10,810원",시간 | (장기),08:30 ~ 11:30,"담당업무 :  -5등급 남자어르신 (치매교육 이수 필) 월 21회 -오전 08:30-11:30 -타센터 근무자는 희망하지 않음 ,(오전 오후 둘다 근무 안하시는 ...",경력무관 | 학력무관 | 경기도 부천시 부일로,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKL002011260005&rtnTarget=list1
