요양보호사 선생님 구합니다(미남로타리),"시급 | 8,590원 이상",시간 | (장기),09:00 ~ 12:00,담당업무 :  미남로타리 4등급 남자어르신 / 요양사 선생님 모십니다 배우자와 같이 살고 계시며 주5회로 가사 지원 서비스와 근처 휠체어를 타고 ...,경력무관 | 학력무관 | 부산광역시 동래구 아시아드대로,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K130112011260052&rtnTarget=list1
<유성구청 채용대행>공주시 들말길 재가요양보호사 모집,"시급 | 11,000원 ~ 11,000원",시간 | (단기),,"담당업무 :  ●근무예정지 : 공주시 들말길 ●근무시간 : 09:00 ~ 12시(주 5일 근무) ●할아버지, 3등급 ●가사지원등의 업무, 대변주머니 처리 등...",경력무관 | 학력무관 | 충청남도 공주시 들말길,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJFE002011260002&rtnTarget=list2
재가요양보호사 구인,"시급 | 10,800원 ~ 10,800원",시간 | (장기),13:00 ~ 16:00,"담당업무 :  - 4등급 아주머니 재가요양 - 일상적 가사 및 청소 - 13:00~16:00(주6일근무) - 시급10,800원 초보자 우대",경력무관 | 학력무관 | 인천광역시 미추홀구 주안로50번길,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJDE002011260014&rtnTarget=list3
요양보호사 선생님 구합니다(금곡동),"시급 | 8,590원 이상",시간 | (장기),14:00 ~ 17:00,담당업무 :  금곡주공1단지 4등급 여자 어르신입니다. 같이 살고 있는 아드님이 있으며 가사지원 서비스를 중점적으로 제공합니다. *시급10900 (제...,신입 | 학력무관 | 부산광역시 북구 효열로,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K130112011260051&rtnTarget=list4
요양보호사구인,"시급 | 10,800원 이상",시간 | (장기),10:00 ~ 13:00,담당업무 :  -4등급 -파킨슨 -일상생활지원(청소위주),경력무관 | 초졸이하 | ~ 대졸(4년) 경기도,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKR002011260021&rtnTarget=list5
재가요양보호사 모집,"시급 | 10,900원 이상",시간 | (장기),15:00 ~ 18:00,담당업무 :  - 4등급 여자 어르신 케어 - 12월 7일부터 근무 가능,경력무관 | 학력무관 | 경기도 화성시 남양읍,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJK6002011260011&rtnTarget=list6
효천지구 우미린더프레스티지 아파트 경비원 구인,월급 | 202만원 ~ 202만원,비정규 | 격일,,"담당업무 :  아파트 단지 정문.후문 출입관리, 야간순찰 등 - 경비신임교육이수증 또는 병역증명서. - 이력서에 성명 한문 필수",경력무관 | 학력무관 | 전라북도 전주시 완산구,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K161132011260042&rtnTarget=list7
[월성동] 재가요양보호사 구인-치매교육이수자,"시급 | 10,850원 이상",시간 | (장기),09:00 ~ 11:30,"담당업무 :  재가요양보호사 모집 - 월성주공2단지 5등급 할머니 - 시간 : 오전9:00~11:30. 월23회 근무 - 시급 : 10,850원(치매수당 별도) -...",경력무관 | 학력무관 | 대구광역시 달서구 월성로,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KE70192011260005&rtnTarget=list8
거모동 1등급 할머니 재가요양보호사 모집,"시급 | 11,000원 이상",시간 | (장기),10:00 ~ 13:00,담당업무 :  ▣ 거모동 1등급 할머니케어 ▣ 어르신케어 및 일상생활지원 ▣ 근무시간 : (월~금) 10시 ~ 13시 (요양 보호사 시간 사정에 따라 시간...,경력무관 | 학력무관 | 경기도 시흥시 군자로335번길,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKO002011260013&rtnTarget=list9
재가요양보호사 채용,"시급 | 10,900원 ~ 10,900원",시간 | (장기),13:00 ~ 16:00,"담당업무 :  - 3등급 여자 어르신 신체지원, 가사지원 등 방문요양 서비스 제공 * 근무예정지 : 북원상가 근처 주택(태장동)",경력무관 | 학력무관 | 강원도 원주시 향교길,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJLJ002011260001&rtnTarget=list10
