신규영업/납품영업직원  모집합니다.,"연봉 | 2,800만원 이상",정규 | 주5일,,"담당업무 :  자동차부품, 산업용품 부품 열처리 신규영업 자동차부품 납품,수주 관리 ,영업지원 // 경력 1년 이상 / 2.5톤 이상 가능하신분 우대",경력1년 | 고졸 | ~ 대졸(4년) 인천광역시
5톤 화물차 납품기사 및 현장보조업무 구인,월급 | 200만원 ~ 220만원,정규 | 주5일,,"담당업무 :  주업무: 5톤 화물차로 거래처 납품 부업무: 현장 보조업무 주로 중량물이 큰 철 구조물,금속제품들이 주 입니다. 작업이 완료된 물건...",경력1년 | 학력무관 | 경기도 시흥시 산기대학로
트럭운전기사 모집,월급 | 230만원 ~ 250만원,정규 | 주6일,08:00 ~ 17:00,"담당업무 :  -폐가전제품, 재활용품 정리,운반 - 단순 생산보조 등 *1종 보통 운전면허 소지자(4.5톤 윙바디트럭운전)",경력1년 | 학력무관 | 경기도 이천시 모가면
(경력직)납품배송기사님 모십니다!,"연봉 | 3,300만원 이상",비정규 | 주6일,08:00 ~ 18:30,담당업무 :  3.5톤 / 5톤 탑차 운전 납품 및 배송 현장관리,경력1년 | 학력무관 | 경기도 이천시 신둔면
주식회사 오늘애 서초동 한우카페 매장관리직 모집,월급 | 200만원 ~ 300만원,정규 | 주6일,09:00 ~ 18:00,담당업무 :  주식회사 오늘애 한우카페 매장관리직 정직원 모집합니다. - 초보가능 - 경력자우대,경력무관 | 고졸 | ~ 대졸(4년) 서울특별시
카카오 택시운전원 및 일반택시운전원 구인,월급 | 180만원 이상,정규 | 주6일,,"담당업무 :  운전 등 - 카카오 택시 10명, 일반택시 10명 - 운전면허2종보통 소지자 - 급여 카카오택시 : 월180만원+ 성과급(근무시간 : 주6일 8시...",경력무관 | 학력무관 | 경기도 광명시 광명로
마트배달사원모집,"시급 | 8,590원 ~ 8,590원",비정규 | 주3일,,담당업무 :  마트상품배달및 매장업무,경력무관 | 학력무관 | 경상남도 창원시 성산구
차량용 요소수 판매 영업사원 모집,"연봉 | 2,800만원 ~ 3,600만원",정규 | 주5일,08:30 ~ 17:30,"담당업무 :  차량용 요소수, 산업용 요소수 내수 판매(주유소, 버스, 레미콘 회사, 건설기계, 중장비회사)",경력10년 | 대졸(2~3년) | ~ 대졸(4년) 충청북도
(경력직/신입)모듈 트랜스포터 신호수/장비조작원 채용공고,월급 | 250만원 ~ 400만원,정규 | 주5일,,담당업무 :  [모듈 트랜스포터 기사] 모듈 트랜스포터를 트레일러(츄레라)를 운전하여 이동하는 업무. 때에 따라 신호수의 업무도 겸함. *모듈트레...,경력무관 | 학력무관 | 경상남도 창원시 의창구
빌딩주차원 모집(역삼동),월급 | 175만원 이상,비정규 | 주6일,,"담당업무 :  빌딩주차장 주차요원 , 오전반,오후반 교대 근무 ,",경력1년 | 고졸 | 서울특별시 강남구 테헤란로
[CDS코리아]코스트코 양재점 시식/시연/이벤트 사원 채용,"시급 | 10,020원 ~ 10,020원",비정규 | 주5일,,"담당업무 :  * 직무 : 코스트코 양재점 시식/시연 이벤트 서비스 진행 * 연령, 학력, 경력 제한 없음 * 주 5일~6일, 근무시간09:00~18:00(1시간 ...",경력무관 | 학력무관 | 서울특별시 서초구 양재대로
"농민마트 직원채용(계산원, 배송, 공산품)",월급 | 300만원 이상,정규 | 주6일,07:00 ~ 19:00,담당업무 :  * 배송업무 - 07:00~19:00 (주6일근무) - 월 300만원 - 식사제공,경력 | 학력무관 | 경기도 화성시 영통로26번길
자동차부품 납품원,"연봉 | 2,400만원 ~ 3,000만원",정규 | 주5일,,"담당업무 :  자동차부품납품 - 본사의 창고에서 제품을 상차하여 거래처에 납품하는 업무입니다. - 모든 영업 경험 우대, 자동차운전면허 1종 필수...",경력3년 | 고졸 | ~ 대졸(2~3년) 부산광역시
단순노무직-제조 관련 단순 종사원,"연봉 | 2,160만원 ~ 3,000만원",정규 | 주5일,09:00 ~ 18:00,"담당업무 :  종이제품 가공후 포장작업, 택배발송 업무",경력무관 | 학력무관 | 경기도 김포시 양도로55번길
물류 입출고 담당 채용,월급 | 210만원 이상,비정규 | 주5일,09:30 ~ 18:30,"담당업무 :  계약만기에 따른 충원 공고 물류창고에서 제품 입출고 상하차 및 제품 스티커 작업, 제품 픽업 등 업무 담당 - 운전가능자 필수 - 12...",경력무관 | 학력무관 | 경기도 파주시 신촌2로
"난간대(발코니,특화,단조), APT,고급빌라,주택 휀스 영업 경력자 채용 (경력자 대환영)",월급 | 250만원 이상,정규 | 주5일,08:30 ~ 17:30,"담당업무 :  1. 고급형 난간대(발코니,특화,단조) 영업 2.APT,고급빌라,공장,주택 휀스 영업 3.금속 구조물, 공작물 영업 4.고급형 분체 및 액체 ...",경력무관 | 학력무관 | 경기도 수원시 권선구
동군산톨게이트 고속도로 요금수납원 모집(기간제),"시급 | 9,910원 ~ 9,910원",비정규 | 주5일,,담당업무 :  동군산톨게이트 수납원(기간제),경력무관 | 학력무관 | 전라북도 군산시 대야면
어린이집통학 운전기사,"시급 | 8,590원 ~ 8,590원",정규 | 주5일,,담당업무 :  * 주요직무 : 운전기사 및 기타 * 근무시간 : 오전) 08:00~09:30 / 오후)16:30~17:45 주20시간 중 운전외 시간은 어린이집 정...,경력무관 | 고졸 | 경기도 안산시 상록구
[분당 정자] 주차관리원 모집합니다.,"시급 | 8,720원 이상",정규 | 주6일,,"담당업무 :  1. 근무지 : 경기 성남시 분당 정자동, 지하철 정자역(분당선,신분당선) 3번출구 바로 앞. 2. 근무시간 : 평 일(월-금): 오후 12:00~...",경력 | 학력무관 | 경기도 성남시 분당구
배송·납품 운전원 모집,월급 | 120만원 ~ 150만원,시간 | (장기),,담당업무 :  - 은평구 내 정부양곡배송업 - 매월 20~익월 5일까지 근무 - 오전 8시 부터 오후 4시까지 근무,경력무관 | 학력무관 | 서울특별시 은평구 통일로
[GS슈퍼마켓] 용인한숲시티점 매장 상품이동 및 진열 직원모집,월급 | 145만원 ~ 145만원,비정규 | 주5일,08:00 ~ 14:30,담당업무 :  - GS 슈퍼마켓 매장내 상품이동 및 진열 - GS슈퍼마켓 용인한숲시티점 : 경기도 용인시 처인구 남사면 한숲로 60,경력무관 | 학력무관 | 경기도 용인시 처인구
[GS슈퍼마켓] 분당시범단지점/ 분당정자점 매장 상품이동 및 진열 직원모집,월급 | 145만원 ~ 145만원,비정규 | 주5일,08:00 ~ 14:30,담당업무 :  GS 슈퍼마켓 매장내 상품이동 및 진열 GS슈퍼마켓 분당시범단지 : 경기 성남시 분당구 중앙공원로31번길 42 GS슈퍼마켓 분당정자점 :...,경력무관 | 고졸 | 경기도 성남시 분당구
마트계산원 모집,월급 | 180만원 이상,비정규 | 주5일,09:00 ~ 18:00,"담당업무 :  ** 마트 계산원 - 주5일, 09:00 ~ 18:00(주말 근무 가능하신분) - 월180만원",경력1년 | 학력무관 | 경기도 오산시 외삼미로91번길
강서구 노약자 무료셔틀버스 계약직 운전원 1명 채용,월급 | 225만원 ~ 225만원,비정규 | 주5일,,담당업무 :  ○ 채용 인원 및 분야 - 강서구 노약자 무료셔틀버스 계약직 운전원 1명 ○ 주요업무 및 근무형태 - 계약기간 : 2021.01.01.~2021.12...,경력3년 | 학력무관 | 서울특별시 강서구 허준로
"찬이랑밥이랑 배송,배송보조하실분 구합니다(시니어일자리)","시급 | 8,590원 ~ 8,590원",비정규 | 주5일,,"담당업무 :  * 찬이랑 밥이랑 배송, 배송보조 하실분 * 1.배송 1명 - 주5일 4시간(오전10시~2시) - 채용시 바로근무 시작 2.배송보조 1명 - 주5일 ...",경력무관 | 학력무관 | 경기도 시흥시 군자로
서김제톨게이트 고속도로 요금수납원 모집(기간제),"시급 | 9,910원 ~ 9,910원",비정규 | 주5일,,담당업무 :  서김제톨게이트 수납원(기간제),경력무관 | 학력무관 | 전라북도 김제시 성덕면
LG전자 베스트샵(남수원본점) 주차관리원 채용,월급 | 229만원 ~ 229만원,정규 | 주6일,,"담당업무 :  * LG전자 베스트샵 (남수원본점) 주차관리 채용 - 주차관리및 안내 업무. * 운전면허 1종보통 필수 * 중식비 일부지원, 연차수당지급 ...",경력 | 학력무관 | 경기도 수원시 권선구
어린이집 통학차량 운전기사모집,"시급 | 10,000원 ~ 10,000원",시간 | (장기),,"담당업무 :  1종보통운전면허 소지자 사람을 태우고 운행해본 경험이 있는자 차분하게 운전하는 자(스타렉스15인승, 오토) 1종보통운전면허이상 임...",경력무관 | 학력무관 | 경기도 안산시 상록구
KT_스카이라이프  영업사원 모집,"연봉 | 2,400만원 ~ 5,000만원",정규 | 주6일,,담당업무 :  KT스카이라이프 영업업무를 수행함. - 현장 고객 응대 중요. - 신체 조건이 건강한 사람. - 간단한 공작물 설치에 소질이 있는 사람. ...,경력무관 | 고졸 | ~ 대졸(4년) 전라남도
정마트 직원모집(매장관리 및 배달),"시급 | 8,590원 ~ 8,590원",정규 | 주6일,10:00 ~ 21:00,"담당업무 :  매장관리 및 배달업무 근무시간, 급여협의 가능",경력1년 | 학력무관 | 부산광역시 수영구 광안해변로
"영업사원 모집 (경북지역에 판촉, 배송)",월급 | 220만원 이상,정규 | 주5일,08:30 ~ 17:30,"담당업무 :  경북 각 시군의 농기계 판매점에 방문하여(각자 자택에서 바로 출퇴근 가능), 다음과 같은 업무를 수행합니다. --> 농기계 판촉, ...",경력무관 | 학력무관 | 대구광역시 북구 검단동로
단기) 지게차 운전원 모집(지게차 자격증 소지 필수),"시급 | 9,000원 ~ 9,200원",비정규 | 주5일,,"담당업무 :  물류센터 입, 출고 업무 좌식(카운터) 및 입식(리치) 지게차 (지게차 자격증 소지 필수) 주간직 - 3개월 단기 근무",경력1년 | 학력무관 | 전라북도 익산시 석암로11길
세탁물 배송기사(1톤탑차),월급 | 180만원 이상,정규 | 주6일,,담당업무 :  세탁물 배송/품질관리,신입 | 학력무관 | 세종특별자치시 조치원읍 허만석로
3.5톤 운전 채용,"연봉 | 3,000만원 이상",정규 | 주6일,,"담당업무 :  - 업무내용: 마트,백화점 재활용 3.5톤차량 운반(지게차상하차) - 주6일근무(월~토): 오전6시~오후14시 - 연봉 3,000만원이상 - 경증...",경력2년 | 학력무관 | 경기도 의왕시 철도박물관로
25톤 카고 화물차 운전원 모집[울주군청 채용대행],월급 | 240만원 ~ 300만원,비정규 | 주6일,,담당업무 :  ▶ 직무내용 : 25톤 카고(2명) 운전원 ▶ 근무시간 : 주6일 월~토 근무 ; 물건 운반에 정해진 시간까지 탄력적으로 근무 가능 ▶ 자격...,경력 | 학력무관 | 울산광역시 울주군 온산읍
물류센터 배송직원 급구,"시급 | 8,590원 이상",비정규 | 주5일,,"담당업무 :  4톤이하 화물자동차 운전원, 물류센터 상하차 , 배송기사 보조, 지체차 운전원 강서구, 김해 장유, 진해구 용원 인근 거주자 우대",경력무관 | 학력무관 | 부산광역시 강서구 녹산산단46로
창고관리 및 출하직 모집,"일급 | 68,720원 ~ 68,720원",정규 | 주5일,08:00 ~ 17:00,"담당업무 :  직무: 자동화창고 입고 및 출고, 출하준비(제품 이동 포장) 고용형태: 정규직 (수습 3개월) 근무시간: 08:00~17:00(월~금 8시간) / 연...",경력무관 | 고졸 | 경기도 시흥시 희망공원로
(주)에이치케이텍 납품영업 직원채용,월급 | 200만원 ~ 200만원,정규 | 주5일,09:00 ~ 18:00,담당업무 :  업체 납품 배송 또는 원자재 인수 등 운전이 필수인 직무입니다. 배정되는 차량은 포터차량이오니 운전면허1종 수동 자격증을 보유하...,경력무관 | 학력무관 | 서울특별시 구로구 경인로53가길
자게차운전(창고관리) 사원 모집,월급 | 179만원 이상,정규 | 주5일,,"담당업무 :  [경산고용센터 채용대행] * 입,출고 상하차(지게차운전)-자격증은 필수는 아니나 지게차운전가능해야함 * 급여 면접후 결정 * 근무시...",경력무관 | 학력무관 | 경상북도 경산시 하양읍
어린이집 차량기사 모집,월급 | 91만원 이상,정규 | 주5일,,담당업무 :  어린이집 통학버스 운전 그랜드 승합차량 12인승 운전(오토),신입 | 학력무관 | 전라남도 목포시 용당로77번길
평택항 추레라 운전기사모집,월급 | 300만원 ~ 350만원,정규 | 주6일,,담당업무 :  평택항 츄레라(트레일러) 운전기사 (차량증차로 인한 구인),경력1년 | 학력무관 | 경기도 평택시 포승읍
지산개발[진천]-실험실보조사원모집,"시급 | 10,000원 이상",정규 | 주6일,08:00 ~ 18:00,담당업무 :  **지산개발[진천] 트레일러 장비기사 모집** ▶ 직무내용 : 트레일러운전 ▶ 근무시간 : 08:00~18:00 / 주6일근무 ▶ 급여조건 : 시급...,경력무관 | 학력무관 | 충청북도 진천군 문백면
쿠팡 안성원곡물류센터 지게차운전사원모집,월급 | 234만원 ~ 234만원,비정규 | 주5일,09:00 ~ 18:00,담당업무 :  * 해당채용공고는 충남북부상공회의소 중장년일자리희망센터에서 채용대행중입니다. - 직무내용: 쿠팡 안성원곡 물류센터 내 지게차(...,경력무관 | 학력무관 | 경기도 안성시 원곡면
(주)라망 가구 관리부 직원 채용,월급 | 180만원 이상,정규 | 주5일,,"담당업무 :  선반, 테이블, 수납장 등 소가구를 생산하는 회사입니다. 관리부 직원 모집으로 전반적인 사무업무(온라인몰 관리, CS, 업체방문 등 )...",경력무관 | 학력무관 | 경기도 가평군 청평면
마을버스 운전원 모집,월급 | 285만원 ~ 310만원,정규 | 주6일,,"담당업무 :  마을버스운전 /2교대/월285-310만원 - 버스번호 10번, 10-1번 - 신입 지원 가능 - 접수후 오후시간 중에(13시~21시) 전화주시면 면접...",신입 | 학력무관 | 경기도 성남시 중원구
