(주)미래고용정보 대진대학 사무소 전담상담원모집,"연봉 | 2,500만원 ~ 2,640만원",정규 | 주5일,,"담당업무 :  1. 노동부 위탁 취업성공패키지 전담상담원(2명) - 직무내용 : 취업성공패키지 전담상담(직업상담, 훈련상담, 취업알선상담) - 자격요...",경력무관 | 대졸(2~3년) | ~ 대졸(4년) 경기도,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KC16752011200002&rtnTarget=list1
네이버 법률 카페 관리 스탭 채용공고,"시급 | 8,590원 ~ 8,590원",비정규 | 주5일,09:00 ~ 18:00,"담당업무 :  [네이버 생활 법률 정보 카페 운영 및 관리] - 성범죄/마약범죄 관련 사건, 사례 게시글 작성 - 회원 질의 및 질문성 게시글에 댓글, ...",경력10년 | 학력무관 | 서울특별시 강서구 마곡중앙8로1길,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K120412011190014&rtnTarget=list2
(치매교육이수) 사회복지사 모집,월급 | 190만원 이상,비정규 | 주5일,09:00 ~ 18:00,"담당업무 :  - 재가센터 사회복지사 (치매교육이수자) - 방문요양사회복지업무 - 9-18시, 주5일 - 급여 : 1,900,000(협의가능)",경력무관 | 학력무관 | 인천광역시 연수구 선학로,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJDI002011190005&rtnTarget=list3
노인맞춤돌봄서비스사업 수행을 위한 생활지원사를 채용합니다.,월급 | 112만원 ~ 112만원,시간 | (단기),,"담당업무 :  * 담당업무 1. 안전지원(안전·안부확인, 말벗 등) 사회참여(친구 만들기, 자조모임 등) 2. 일상생활 지원(병원·외출동행, 가사 등), ...",경력무관 | 학력무관 | 광주광역시 서구 쌍학로,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KF10162011190001&rtnTarget=list4
[11.19 취업박람회] - 화상면접 진행,월급 | 250만원 이상,시간 | (단기),10:00 ~ 15:00,"담당업무 :  20.11.19 박람회 화상면접 [전국민 디지털 역량강화 강사모집] (과학기술정보통신부 주관) *업무내용: 인공지능 알버트, NUGU스피커,...",경력무관 | 고졸 | ~ 박사 경기도,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KF11062011180001&rtnTarget=list5
부산 진구 신명나는 데이케어센터 주간보호센터 사회복지사 구인합니다.,월급 | 180만원 이상,비정규 | 주5일,,"담당업무 :  노인 주간보호 센터 사회복지사업무 * 사회복지사 업무(사회복지사자격증 필수) * 행정, 어르신케어, 프로그램 운영, 송영 등 * 월~토...",경력무관 | 학력무관 | 부산광역시 부산진구 성지로,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K130042011180037&rtnTarget=list6
컴퓨터학원 사무자동화강사 구합니다,"시급 | 15,000원 ~ 20,000원",시간 | (단기),,"담당업무 :  직업훈련 컴퓨터 교육, 시간제 구함 - OA강좌 (한글,엑셀,파워포인트) 근로자및 실업자반 저녁반 주말 토요일 강사 구함 근무시간 : (...",경력2년 | 고졸 | ~ 대졸(2~3년) 인천광역시,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K150012011180102&rtnTarget=list7
요양보호사 채용,"시급 | 10,850원 ~ 10,850원",시간 | (장기),09:00 ~ 12:00,담당업무 :  4등급 여자 어르신 케어 시급 10850원 주6일 근무 09:00~12:00,경력무관 | 학력무관 | 서울특별시 동대문구 제기로,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KF11002011170004&rtnTarget=list8
서울 강북구)간병관리 및 사무행정직 모집,월급 | 190만원 ~ 200만원,비정규 | 주5일,09:00 ~ 18:00,담당업무 :  1. 근무지 : 서울 꿈의숲요양병원 2. 지원요건 : 사회복지사 자격증 소지자 중 병원관련 경력자 또는 대인관계능력이 우수한 자 2. 수...,경력무관 | 고졸 | ~ 대졸(4년) 서울특별시,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K151122011170074&rtnTarget=list9
사하효심데이케어센터 사회복지사 모집,"연봉 | 2,160만원 ~ 2,160만원",비정규 | 주5일,08:00 ~ 17:00,담당업무 :  노인주간보호센터 효심데이케어센터 본점(사하점) 사회복지사 모집 1. 노인을 공경하고 팀워크를 존중하는 사회복지사 구인합니다 2. ...,신입 | 학력무관 | 부산광역시 사하구 다대로,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K130052011160011&rtnTarget=list10
장애인활동보조인 모집,"시급 | 10,310원 이상",정규 | 주6일,,"담당업무 :  * [범일동 거주 ] 지체장애 70년생 여성 - 가사도움, 신체활동보조, 수영장동행 - 근무시간: (월~토) 오전8시~오후4시",경력무관 | 학력무관 | 부산광역시 사상구 백양대로979번길,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBJ002011160002&rtnTarget=list1
신중년 한국어 교육 강사 모집(경남여성새일센터 채용대행),월급 | 120만원 이상,시간 | (단기),13:00 ~ 17:00,담당업무 :  -다문화 가정 -기업체 직원대상 한국어 교육 -한국어교원자격증 필수 **1차계약: 2020년 12/31까지 계약 후 2차계약 : 2021년.1/1~1...,경력 | 대졸(2~3년) | ~ 대졸(4년) 경상남도,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KF10532011160001&rtnTarget=list2
[수지] 학원셔틀 동승매니저,월급 | 120만원 이상,비정규 | 주6일,,담당업무 :  - 담당업무: 1)통학 버스 탑승 학생의 안전한 승하차 지도 2)학생들의 차량 내 안전 유지 3)어플리케이션을 이용한 승하차 정보 전송 ...,경력무관 | 학력무관 | 경기도 용인시 수지구,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K151732011160001&rtnTarget=list3
주간활동서비스(발달장애인) 제공인력 채용,월급 | 208만원 이상,비정규 | 주5일,09:00 ~ 19:00,"담당업무 :  1. 발달장애인 주간활동 프로그램 참여 - 실내, 실외 프로그램 2. 발달장애인 캐어 전반 3. 발달장애인 송영(픽업/리턴) 서비스(차량...",경력무관 | 학력무관 | 전라북도 전주시 완산구,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K161132011120032&rtnTarget=list4
[강서구민만 지원가능] 사회서비스형 실버보육도우미 추가모집,월급 | 71만원 이상,시간 | (단기),,"담당업무 :  1) 실버보육도우미 우대 : 사회복지사,보육교사 자격증 소지자 및 어린이집 유경험자 ------------------------- *근무조건 근로기간...",경력무관 | 학력무관 | 서울특별시 강서구 방화동로,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KF11062011120001&rtnTarget=list5
[방배동] 구립서정어린이집 보육도우미 모집,"시급 | 8,590원 이상",시간 | (단기),13:00 ~ 17:30,담당업무 :  - 구립서정어린이집 보육도우미 모집 - 주로 어린이집 청소업무이며 급식실 보조지원입니다. - 주5일 13~00:17:30 - 월 897.000원 - ...,경력무관 | 학력무관 | 서울특별시 서초구 방배천로,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAM002011120001&rtnTarget=list6
포항시 남구 효자 피아노 강사 구합니다.,"시급 | 9,000원 이상",시간 | (장기),13:00 ~ 18:00,"담당업무 :  피아노 전공자 선생님 모십니다. 바이올린과 플룻, 첼로 강사선생님 계십니다. 피아노 원생 증가로 피아노 강사님 모십니다. 많은 지...",경력무관 | 대졸(4년) | ~ 박사 경상북도,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K141112011110008&rtnTarget=list7
사회복지사,월급 | 180만원 ~ 180만원,정규 | 주5일,09:00 ~ 18:00,담당업무 :  요양원 전반적인 사회복무일,경력무관 | 학력무관 | 경기도 평택시 오성면,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K151712011100039&rtnTarget=list8
"사회복지사모집-장애인우대(남녀노소, 연령 상관없슴)","시급 | 8,590원 ~ 15,000원",정규 | 주5일,08:30 ~ 17:30,담당업무 :  취약계층인 장애인과 같이 일하실 사회복지사분을 모십니다 연령 제한 없음 / 노인 및 장애인 우대,경력무관 | 학력무관 | 경기도 하남시 미사강변서로,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K151642011100007&rtnTarget=list9
보육교사 구인,월급 | 179만원 이상,정규 | 주5일,08:30 ~ 17:30,담당업무 :  3세반 보육교사를 모집합니다,신입 | 고졸 | 전라남도 여수시 봉계6길,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KF11152011050003&rtnTarget=list10
"IPC 한국교육센터 강사 모집 (SMT/IMT 및 와이어하네스 기술 경력자 우대, 방위산업, 전장산업 우대)",월급 | 200만원 ~ 300만원,정규 | 주5일,09:00 ~ 16:30,"담당업무 :  IPC 국제 표준 강의 및 방위, 우주항공, 전장산업 생산 파트 근무자를 위한 스킬업 교육 *IPC-A-620 (와이어하네스 국제 조립 표준 ...",경력10년 | 학력무관 | 서울특별시 구로구 디지털로30길,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K120032011040040&rtnTarget=list1
방문요양 역량있는  사회복지사님 모십니다,월급 | 180만원 ~ 200만원,정규 | 주5일,09:00 ~ 18:00,담당업무 :  가산방문 사회복지사 업무,경력무관 | 초졸이하 | ~ 대졸(4년) 경상북도,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K140142011020049&rtnTarget=list2
야간전담 요양보호사 모집,월급 | 179만원 이상,정규 | 주5일,18:00 ~ 09:00,"담당업무 :  [야간전담 요양보호사] - 주5일 주말포함근무 - 18시~익일09시 - 1,795,310원",경력무관 | 학력무관 | 경기도 양주시 회정로,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KF11292011020007&rtnTarget=list3
직업훈련교사-전기직종 훈련교사 채용,월급 | 300만원 ~ 350만원,정규 | 주5일,09:00 ~ 18:00,"담당업무 :  [ 실업자일반(주간)반 / 재직자(야간)반 ] 전기내선공사(전기기능사) 자격취득을 목표로 하는 과정에서 필기, 실기 교육 및 훈련생 지...",경력5년 | 대졸(4년) | 강원도 춘천시 동내면,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K152122011020019&rtnTarget=list4
*방문목욕센터 사회복지사 및  차량업무 담당자 모집*,월급 | 180만원 ~ 200만원,비정규 | 주5일,,담당업무 :  *목욕차량(1톤탑차) 운전 업무 등 *방문목욕센터 사회복지사 업무 *또는 요양보호사 자격증 소지자,경력무관 | 학력무관 | 경상남도 창원시 의창구,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K131132010300042&rtnTarget=list5
보육교사 구인,월급 | 180만원 이상,정규 | 주5일,09:00 ~ 18:00,담당업무 :  어린이집 담임교사,경력무관 | 학력무관 | 경기도 하남시 위례중앙로,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K151642010290023&rtnTarget=list6
보육 도우미 (주방근무) 모집,월급 | 112만원 이상,비정규 | 주5일,09:00 ~ 14:00,담당업무 :  주방에 근무하실 분 모집,경력무관 | 고졸 | ~ 대졸(4년) 충청남도,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KE70472010280001&rtnTarget=list7
"산업위생관리기사. 경북안동 근무(안전,보건강사1명), 건강하면 정년 없음",월급 | 230만원 이상,정규 | 주6일,,"담당업무 :  - 다음의 어느 하나에 해당하는 사람 산업보건ㆍ위생분야별 1명 • 산업보건지도사 자격을 가진 사람, 또는 산업위생관리기술사 • 산...",경력1년 | 학력무관 | 경상북도 안동시 경동로,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K141112010270045&rtnTarget=list8
2020 전국민 디지털 역량강화 특별교육 / 소프트웨어(SW) 코딩 교육 강사 모집,월급 | 250만원 이상,시간 | (단기),10:00 ~ 15:00,담당업무 :  2020년도 전국민 디지털 역량강화 특별교육 부문 / 소프트웨어(SW) 코딩교육 강사 모집 ■ 사업개요 ▴ 사업명 : 전국민 디지털 역량...,경력무관 | 고졸 | ~ 박사 경기도,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K151812010260010&rtnTarget=list9
농촌체험교육농장 체험학습 관리자 및 프로그램 진행 직원,월급 | 230만원 ~ 300만원,정규 | 주6일,09:00 ~ 18:00,"담당업무 :  - 체험학습 사전 시설물 보수 및 관리자로서 매장 및 사업장 매니저 유경험자, - 체험학습준비 및 교육, 프로그램 진행이 가능한 신체...",경력무관 | 고졸 | ~ 대졸(4년) 인천광역시,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K150122010210046&rtnTarget=list10
[하단]운전학원 기능검정원(자동차운전기능검정원 자격증 필수),월급 | 250만원 이상,정규 | 주6일,,담당업무 :  * 서부산자동차학원 기능검정원 (자동차운전기능검정원 자격증필수) - 경력 1년이상 - 근무시간 평일 08:00~18:50 토요일 08:00~16:50,경력무관 | 고졸 | ~ 대졸(4년) 부산광역시,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBK002010160002&rtnTarget=list1
보육도우미 (조리보조),월급 | 90만원 ~ 100만원,비정규 | 주5일,10:00 ~ 14:30,담당업무 :  주방 보조 및 청소,경력무관 | 고졸 | ~ 대졸(4년) 충청남도,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KE70472010150001&rtnTarget=list2
[2020.10.22(목) 인천여성복지관 온라인 구인구직만남의 날] 온라인 면접 참여업체 노인치매인지교육 강사 모집,"시급 | 20,000원 ~ 25,000원",시간 | (단기),10:30 ~ 16:30,"담당업무 :  [2020.10.22(목) 인천여성복지관 온라인 구인구직만남의 날] 온라인 면접 참여업체 노인치매인지교육 강사 모집 -요양원, 주야간보호...",경력무관 | 학력무관 | 인천광역시 서구 고산후로121번길,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KF10132010150009&rtnTarget=list3
경기도 용인시 처인구 백암면 방문요양 요양보호사1명 구인 14~17시 (월~금),"시급 | 10,900원 ~ 11,000원",시간 | (장기),14:00 ~ 17:00,"담당업무 :  점심식사 및 어르신 보조, 청소",경력무관 | 학력무관 | 경기도 용인시 처인구,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K151132010120043&rtnTarget=list4
사회복지사구인합니다.,월급 | 180만원 ~ 180만원,정규 | 주5일,08:00 ~ 17:00,담당업무 :  * 사회복지 업무,경력무관 | 학력무관 | 경기도 김포시 김포한강4로,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKI002010060003&rtnTarget=list5
장애인활동보조 모집 공고,"시급 | 10,930원 이상",시간 | (장기),09:00 ~ 16:00,"담당업무 :  장애인 활동보조 모집 초보자는 교육있음(교육 40시간, 실습 10시간 실습완료후 채용됨) 이력서는 첨부파일에 자사이력서 양식을 다운...",경력무관 | 학력무관 | 전라북도 부안군 용암로,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KF11172010060003&rtnTarget=list6
[서대문시니어클럽] 노인일자리사업 참여자 모집,월급 | 71만원 ~ 71만원,시간 | (단기),,담당업무 :  * 서대문시니어클럽 노인일자리사업 참여자 모집 * 자격요건 : 주민등록상 거주지가 서대문구인 지역주민 * 직무 : 생활관리사가 수행...,경력무관 | 학력무관 | 서울특별시 서대문구 모래내로13길,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KF11012009290001&rtnTarget=list7
