"총무 및 인력관리, 서비스관리",월급 | 180만원 이상,비정규 | 주5일,09:00 ~ 18:00,담당업무 :  - 서비스사업 지원 및 관리 - 인사 / 총무 관리 - 어르신들과 잘 지낼 수 있는 친화력 - 외부 협력파트너사와의 협업 및 의견조율 - ...,경력무관 | 학력무관 | 서울특별시 강서구 하늘길,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K120312011260031&rtnTarget=list1
"자재,외주관리 정규직 채용(신입사원)","연봉 | 2,300만원 ~ 2,500만원",정규 | 주5일,09:00 ~ 18:00,"담당업무 :  *담당업무* - 자재관리,외주관리,자재 입출고 - 근무부서 : 구매,자재부 *자격요건* - 경력 : 신입 - 직급/직책 : 사원급 *우대사항* ...",경력무관 | 고졸 | ~ 대졸(2~3년) 경기도,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K120612011260038&rtnTarget=list2
"아파트 관리소장 채용합니다/이력서 팩스, 방문 지원(전화문의 사절)","연봉 | 2,400만원 ~ 2,400만원",정규 | 주5일,09:00 ~ 18:00,"담당업무 :  자치관리아파트(1동 127세대) 관리소장 업무. 주택관리사(보) 자격증소지자. 소방안전관리자 2급 소지자. 한글, 엑셀 사용 가능 한 분...",경력1년 | 학력무관 | 서울특별시 관악구 호암로,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAF002011260001&rtnTarget=list3
라메르유한회사 경력사원(이사급) 모집,"연봉 | 2,600만원 ~ 3,000만원",정규 | 주5일,09:00 ~ 18:00,담당업무 :  1. 회계업무 : 자금관리 총괄 2. 임대영업 : 부동산 계약관련 업무 및 관리 3. 건물관리 : 당사 시설 및 설비관련 관리 (소방안전관리...,경력5년 | 대졸(4년) | 서울특별시 종로구 인사동5길,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K120122011260013&rtnTarget=list4
"[연봉 3264만원/주5일/일7시간/식사제공/정규/잔업없음]유통물류센터 제품입출고,하차직원 채용",월급 | 272만원 이상,비정규 | 주6일,,"담당업무 :  갈고리이용 물품 하차, 입출고관리,운반, 운송, 보관, 재고관리,반품관리, 적재,보관,운반, 분배, 유통기한관리",경력무관 | 학력무관 | 경기도 용인시 기흥구,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKX002011260004&rtnTarget=list5
[성남 분당구 서현동] 효자촌프라자 빌딩 관리소장 구인,월급 | 320만원 ~ 340만원,비정규 | 주5일,,담당업무 :  •건물관리(시설점검) •입점사 민원대응,경력3년 | 학력무관 | 경기도 성남시 분당구,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K151132011260010&rtnTarget=list6
태양광발전 업무 희망자 모십니다. (초보가능/전기기술자우대),월급 | 215만원 ~ 250만원,정규 | 주5일,,"담당업무 :  자연과 미래를 생각하는 신재생에너지전문기업 (주)에이씨에스 입니다. 전기공사, 자동제어공사, 태양광발전장치 직접생산/설계/시공 ...",경력무관 | 학력무관 | 경상북도 구미시 3공단1로,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K141212011260002&rtnTarget=list7
빌딩 관리소장 채용,월급 | 190만원 이상,비정규 | 주6일,,담당업무 :  - 지하1층 지상14층 53세대 소규모 공동건물 경비업무 업무 가능자 - 급여:190만원 - 주간근무(09:00~18:00/토 09:00~12:00 ...,경력1년 | 학력무관 | 경기도 김포시 양촌읍,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKL002011250009&rtnTarget=list8
GS온라인배송센터 단순업무 근무자 모집,"시급 | 8,590원 ~ 8,590원",정규 | 주5일,,"담당업무 :  - 물류센터내에서 주문받은 현미도정후 배송준비(도정+포장+배송접수) - 근무시간: 07시30분~13시30분 근무자 1명 , 13시30분~19시 근...",경력무관 | 학력무관 | 서울특별시 송파구 송파대로,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K151152011250095&rtnTarget=list9
산업용 유리 판매 영업   및 인터넷 판매 직원 모집,월급 | 200만원 ~ 300만원,정규 | 주5일,08:30 ~ 17:30,담당업무 :  산업용 강화 유리 /접합유리 /복층유리 국내외 건설 현장 및 인터넷 판매 영업 직원 채용. / 보수 별도 협의,경력1년 | 학력무관 | 충청북도 음성군 대소면,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K171252011250013&rtnTarget=list10
